# # # eindeutige Ortsbezeichnungen;
Niederl.;Niederlande
Oest.;Österreich
Oester.;Österreich
Oesterr.;Österreich
Oster.;Österreich
Osterr.;Österreich
Ã–ster.;Österreich
Ã–sterr.;Österreich
Pol.;Polen
Poln.-;Polnisch-
Poln.;Polnisch
Russ.;Rußland
Rußl.;Rußland
Rußld.;Rußland
Ruß.;Rußland
Ung.;Ungarn
N.-A.;Nordamerika
M.-A.;Mittelamerika
V. St. A.;United States of America
U. S. A.;United States of America
U. St. A.;United States of America
Verein.;United
V. St.;United States
United St.;United States
Ver.;United
Staaten;States
v. Nord-Amerika;of America
v. Amerika;of America
v. Nordamerika;of America
#;
# # #  Ergänzungen innerhalb eines Wortes;
bad.;baden
bay.;bayern
els.;elsaß
fal.;falen
friesl.;friesland
frsld.;friesland
geb.;gebirge
hsn.;hausen
havell.;havelland
kirch.;kirchen
preuß.;preußen
pom.;pommern
pomm.;pommern
prov.;provinz
rußl.;rußland
schles.;schlesien
#;
# # #  Irrelevante Typeninformationen lÃ¶schen;
O.-A.; 
O.-A; 
O-A.; 
Amtsh.; 
A. H.; 
A.-H.; 
B. A.; 
B.-A.; 
Abt.; 
Ab.; 
Abb.; 
Altm.; 
Bez.; 
Bezirk; 
Ev.; 
Forsth.; 
Fstt.; 
Frstt.; 
Fürst.; 
Fürstt.; 
Fürstent.; 
Fürstl.; 
Grfsch.; 
Grafsch.; 
Grschft.; 
Grfscht.; 
Grfschft.; 
Grafschft.; 
Gräfl.; 
Gem.; 
Gde.; 
Gouv.; 
Geistl.; 
Großh.; 
Großherz.; 
Großherzogt.; 
Gutbez.; 
Hzt.; 
Hzgt.; 
Hzgtm.; 
Herz.; 
Herzgt.; 
Herzogt.; 
Herzogl.; 
Kgr.; 
Königr.; 
Kgl.; 
Königl.; 
Kt.; 
Kth.; 
Kath.; 
Kathl.; 
Kathol.; 
Kirchl.; 
Kr.; 
Krs.; 
Kol.; 
Kolon.; 
Landkr.; 
Prov.; 
Reg-; 
Reg.-; 
Reg.; 
Sdt.; 
Städt.; 
Stadtkr.; 
Vw.; 
Vorw.; 
wohnh.; 
Adr.; 
j. L.; 
Ä. L.; 
