textual_id,longitude,latitude,content
adm_139177,NULL,NULL,Erding
adm_139178,NULL,NULL,Freising
object_387898,NULL,NULL,Friedberg
adm_139181,NULL,NULL,"Landsberg am Lech"
adm_139182,NULL,NULL,Miesbach
object_387899,NULL,NULL,Laufen
adm_139183,NULL,NULL,"Mühldorf am Inn"
object_387952,NULL,NULL,"München links der Isar"
object_387953,NULL,NULL,"München rechts der Isar"
object_387896,NULL,NULL,"Bad Aibling"
object_396979,NULL,NULL,Schongau
object_397115,NULL,NULL,"Wasserburg am Inn"
object_387954,NULL,NULL,"München II"
object_397172,NULL,NULL,Wolfratshausen
adm_139184,NULL,NULL,München
adm_139184,NULL,NULL,"München I"
object_397282,NULL,NULL,Schrobenhausen
adm_139171,NULL,NULL,Altötting
adm_139176,NULL,NULL,Eichstätt
object_1184110,NULL,NULL,"Weilheim in Oberbayern"
object_381067,NULL,NULL,Ingolstadt
adm_139462,NULL,NULL,Bayreuth
adm_139461,NULL,NULL,Bamberg
adm_139464,NULL,NULL,Hof
adm_139474,NULL,NULL,Forchheim
adm_139478,NULL,NULL,Lichtenfels
adm_139479,NULL,NULL,"Wunsiedel im Fichtelgebirge"
adm_139476,NULL,NULL,Kronach
adm_139471,NULL,NULL,"Bamberg II"
adm_139472,NULL,NULL,Bayreuth
adm_139475,NULL,NULL,Hof
object_283885,NULL,NULL,Stadtsteinach
object_374516,NULL,NULL,Münchberg
object_386983,NULL,NULL,"Bamberg I"
object_386994,NULL,NULL,Berneck
adm_139473,NULL,NULL,Coburg
adm_139463,NULL,NULL,Coburg
adm_139477,NULL,NULL,Kulmbach
adm_139761,NULL,NULL,Augsburg
adm_139776,NULL,NULL,"Lindau (Bodensee)"
adm_139774,NULL,NULL,Günzburg
adm_139780,NULL,NULL,Oberallgäu
adm_139772,NULL,NULL,Augsburg
object_375720,NULL,NULL,"Kempten (Allgäu)"
object_375725,NULL,NULL,Sonthofen
object_283989,NULL,NULL,"Neuburg an der Donau"
object_397824,NULL,NULL,Marktoberdorf
object_884413,NULL,NULL,Oberdorf
object_884414,NULL,NULL,Zusmarshausen
object_884415,NULL,NULL,Schwabmünchen
object_306530,NULL,NULL,"Dillingen an der Donau"
object_306398,NULL,NULL,Donauwörth
object_884408,NULL,NULL,Füssen
object_397592,NULL,NULL,Kaufbeuren
object_884410,NULL,NULL,Krumbach
object_884412,NULL,NULL,Mindelheim
object_884409,NULL,NULL,Illertissen
object_884411,NULL,NULL,Memmingen
object_306404,NULL,NULL,Nördlingen
object_306536,NULL,NULL,Wertingen
adm_139374,NULL,NULL,"Neustadt an der Waldnaab"
adm_139371,NULL,NULL,Amberg-Sulzbach
adm_139377,NULL,NULL,Tirschenreuth
adm_139372,NULL,NULL,Cham
object_283988,NULL,NULL,Roding
adm_139376,NULL,NULL,Schwandorf
adm_139375,NULL,NULL,Regensburg
adm_139373,NULL,NULL,"Neumarkt in der Oberpfalz"
object_386984,NULL,NULL,Beilngries
object_386982,NULL,NULL,Amberg
object_397589,NULL,NULL,Riedenburg
object_398908,NULL,NULL,Parsberg
object_1049781,NULL,NULL,"Eschenbach in der Oberpfalz"
object_386997,NULL,NULL,Burglengenfeld
adm_139565,NULL,NULL,Schwabach
adm_139562,NULL,NULL,Erlangen
adm_139564,NULL,NULL,Nürnberg
adm_139563,NULL,NULL,Fürth
adm_139573,NULL,NULL,Fürth
