,x,y,id
380,7.7333333,47.2833333,object_191066
381,7.7833333,47.2666667,object_191066
382,7.8333333,47.2666667,object_191066
383,7.7666667,47.1166667,object_191066
384,7.7,46.65,object_191066
385,8.0833333,46.75,object_191066
386,8.1666667,46.9,object_191066
387,8.45,47.0833,object_191066
388,8.6833333,47.7666667,object_191066
389,8.1,47.24,object_191066
390,8.0,47.24,object_191066
391,7.9166667,47.35,object_191066
392,7.95,47.35,object_191066
393,8.0,47.3666667,object_191066
394,8.0,47.4,object_191066
395,7.95,47.4,object_191066
396,7.86667,47.3667,object_191066
397,7.8333333,47.3333333,object_191066
398,7.75,47.3333333,object_191066
399,7.7,47.35,object_191066
400,7.6,47.3833333,object_191066
401,7.6,47.4,object_191066
402,7.6333333,47.45,object_191066
403,7.65,47.4666667,object_191066
404,7.6166667,47.4666667,object_191066
405,7.5833333,47.4166667,object_191066
406,7.55,47.4,object_191066
407,7.5333333,47.3833333,object_191066
408,7.4674,47.4643,object_191066
409,7.4888,47.4747,object_191066
410,7.45,47.4833333,object_191066
411,7.4166667,47.4333333,object_191066
412,7.4666667,47.3833333,object_191066
413,7.5333333,47.3666667,object_191066
414,7.5333333,47.2833333,object_191066
415,7.4666667,47.25,object_191066
416,7.4166667,47.2,object_191066
417,7.3833333,47.1833333,object_191066
418,7.3833333,47.1,object_191066
419,6.16667,46.3667,object_191051
420,6.18333,46.4,object_191051
421,6.2,46.4667,object_191051
422,6.2333333,46.4833333,object_191051
423,6.3,46.5166667,object_191051
424,6.3333333,46.55,object_191051
425,6.3666667,46.5833333,object_191051
426,6.31667,46.65,object_191051
427,6.38333,46.7,object_191051
428,6.38333,46.7167,object_191051
429,6.41667,46.7333,object_191051
430,6.46667,46.7,object_191051
431,6.51667,46.7333,object_191051
432,6.53333,46.7833,object_191051
433,6.55,46.8,object_191051
434,6.56667,46.8167,object_191051
435,6.61667,46.8667,object_191051
436,6.66667,46.85,object_191051
437,6.71667,46.8833,object_191051
438,6.75,46.8,object_191051
439,6.7833333,46.7833333,object_191051
440,6.83333,46.75,object_191051
441,6.91,46.75,object_191051
442,6.93,46.75,object_191051
443,6.92,46.74,object_191051
444,6.95,46.65,object_191051
445,6.86667,46.6833,object_191051
446,6.75,46.7,object_191051
447,6.75,46.6167,object_191051
448,6.8,46.5667,object_191051
449,6.86667,46.55,object_191051
450,6.9,46.4667,object_191051
451,6.9333333,46.4166667,object_191051
452,7.08333,46.4667,object_191051
453,7.0333333,46.75,object_191051
454,7.2333333,46.9,object_191051
455,7.2166667,46.95,object_191051
456,7.1833333,47.0333333,object_191051
457,7.15,47.0166667,object_191051
458,7.1,47.0166667,object_191051
459,7.06,46.95,object_191051
460,7.0833333,46.9,object_191051
461,7.04,46.85,object_191051
462,7.0,46.9,object_191051
463,6.93333,46.8833,object_191051
464,6.9,46.8833,object_191051
465,6.9833333,46.9333333,object_191051
466,7.0,46.94,object_191051
467,7.0166667,46.95,object_191051
468,7.05,47.0166667,object_191051
469,7.05,47.0333333,object_191051
470,6.95,47.1333333,object_191051
471,6.9166667,47.1166667,object_191051
472,6.8833333,47.1333333,object_191051
473,7.0,47.15,object_191051
474,7.0333333,47.1666667,object_191051
475,7.0666667,47.1833333,object_191051
476,7.1,47.2333333,object_191051
477,7.1333333,47.1833333,object_191051
478,7.2,47.2166667,object_191051
479,7.2,47.25,object_191051
480,7.2166667,47.2666667,object_191051
481,7.2833333,47.2333333,object_191051
482,7.35,47.2833333,object_191051
483,7.3833333,47.3,object_191051
484,7.4166667,47.2833333,object_191051
485,7.53024,47.43824,object_191051
486,7.55,47.3333333,object_191051
487,7.4333333,47.2666667,object_191051
488,7.3666667,47.2833333,object_191051
489,7.3333333,47.2333333,object_191051
490,7.3666667,47.1833333,object_191051
491,7.45,47.1666667,object_191051
492,7.4166667,47.15,object_191051
493,7.4,47.0833333,object_191051
494,7.4833333,47.05,object_191051
495,7.5166667,47.0833333,object_191051
496,7.5333333,47.1166667,object_191051
497,7.55,47.1333333,object_191051
498,7.558346,47.151662,object_191051
499,7.5833333,47.2,object_191051
500,7.6,47.2333333,object_191051
501,7.65,47.25,object_191051
502,7.6833333,47.2666667,object_191051
503,7.75,47.2333333,object_191051
504,7.8,47.2666667,object_191051
505,7.8333333,47.1833333,object_191051
506,7.8666667,47.1333333,object_191051
507,7.85,47.0833333,object_191051
508,7.8166667,47.0833333,object_191051
509,7.7833333,47.0833333,object_191051
510,7.7333333,47.0166667,object_191051
511,7.7333333,46.9833333,object_191051
512,7.7333333,46.95,object_191051
513,7.7833333,46.8833333,object_191051
514,7.8333333,46.9166667,object_191051
515,7.8833333,46.95,object_191051
516,7.85,46.8333333,object_191051
517,7.95,46.8333333,object_191051
518,7.9166667,46.7166667,object_191051
519,7.95,46.7,object_191051
520,8.1,46.75,object_191051
521,8.1833333,46.7333333,object_191051
522,8.333328,46.733324,object_191051
523,8.2833333,46.6666667,object_191051
524,8.2166667,46.7,object_191051
525,8.05,46.6166667,object_191051
526,7.93333,46.6333,object_191051
527,7.9,46.6,object_191051
528,7.8333333,46.6333333,object_191051
529,7.7666667,46.65,object_191051
530,7.7333333,46.65,object_191051
531,7.7,46.65,object_191051
532,7.6666667,46.55,object_191051
533,7.6666667,46.4833333,object_191051
534,7.5619,46.4907,object_191051
535,7.65,46.5833333,object_191051
536,7.6333333,46.6833333,object_191051
537,7.5666667,46.6333333,object_191051
538,7.4833333,46.65,object_191051
539,7.55,46.6667,object_191051
540,7.5333333,46.7333333,object_191051
541,7.4833333,46.7833333,object_191051
542,7.4,46.7833333,object_191051
543,7.3333333,46.7666667,object_191051
544,7.28486,46.5032,object_191051
545,7.30213,46.5127,object_191051
546,7.3833333,46.6333333,object_191051
547,7.3666667,46.55,object_191051
548,7.4333333,46.45,object_191051
549,7.3333333,46.4166667,object_191051
550,7.28643,46.473,object_191051
